gid,estado,fecha_carga
2040,0,2023-05-03 8:00:00
2019,5,2023-05-03 8:00:00
2005,0,2023-05-03 8:00:00
2030,0,2023-05-03 8:00:00
1983,0,2023-05-03 8:00:00
2034,0,2023-05-03 8:00:00
2006,0,2023-05-03 8:00:00
2052,0,2023-05-03 8:00:00
1960,0,2023-05-03 8:00:00
2026,0,2023-05-03 8:00:00
1986,0,2023-05-03 8:00:00
2015,0,2023-05-03 8:00:00
2025,0,2023-05-03 8:00:00
2038,0,2023-05-03 8:00:00
1974,0,2023-05-03 8:00:00
2004,0,2023-05-03 8:00:00
2039,0,2023-05-03 8:00:00
2047,0,2023-05-03 8:00:00
2013,0,2023-05-03 8:00:00
2012,0,2023-05-03 8:00:00
2014,0,2023-05-03 8:00:00
2048,0,2023-05-03 8:00:00
1968,0,2023-05-03 8:00:00
2018,0,2023-05-03 8:00:00
2087,0,2023-05-03 8:00:00
2125,0,2023-05-03 8:00:00
2102,5,2023-05-03 8:00:00
2066,5,2023-05-03 8:00:00
2083,0,2023-05-03 8:00:00
2078,0,2023-05-03 8:00:00
2144,0,2023-05-03 8:00:00
2091,0,2023-05-03 8:00:00
2095,0,2023-05-03 8:00:00
2111,0,2023-05-03 8:00:00
2112,0,2023-05-03 8:00:00
2065,0,2023-05-03 8:00:00
2069,0,2023-05-03 8:00:00
2071,0,2023-05-03 8:00:00
2151,0,2023-05-03 8:00:00
2101,5,2023-05-03 8:00:00
2092,5,2023-05-03 8:00:00
2103,5,2023-05-03 8:00:00
2061,0,2023-05-03 8:00:00
2084,0,2023-05-03 8:00:00
2109,0,2023-05-03 8:00:00
2122,0,2023-05-03 8:00:00
2115,0,2023-05-03 8:00:00
2118,0,2023-05-03 8:00:00
2094,0,2023-05-03 8:00:00
2170,0,2023-05-03 8:00:00
2219,0,2023-05-03 8:00:00
2172,0,2023-05-03 8:00:00
2227,0,2023-05-03 8:00:00
2230,0,2023-05-03 8:00:00
2177,0,2023-05-03 8:00:00
2180,0,2023-05-03 8:00:00
2209,0,2023-05-03 8:00:00
2211,0,2023-05-03 8:00:00
2215,0,2023-05-03 8:00:00
2185,0,2023-05-03 8:00:00
2187,0,2023-05-03 8:00:00
2213,0,2023-05-03 8:00:00
2197,0,2023-05-03 8:00:00
2168,0,2023-05-03 8:00:00
2221,0,2023-05-03 8:00:00
2175,0,2023-05-03 8:00:00
2173,0,2023-05-03 8:00:00
2228,0,2023-05-03 8:00:00
2231,0,2023-05-03 8:00:00
1897,0,2023-05-03 7:00:00
1901,0,2023-05-03 7:00:00
1950,0,2023-05-03 7:00:00
1872,0,2023-05-03 7:00:00
1873,0,2023-05-03 7:00:00
1932,0,2023-05-03 7:00:00
1912,1,2023-05-03 7:00:00
1894,0,2023-05-03 7:00:00
1870,0,2023-05-03 7:00:00
1871,0,2023-05-03 7:00:00
1913,0,2023-05-03 7:00:00
1933,0,2023-05-03 7:00:00
1934,0,2023-05-03 7:00:00
1895,0,2023-05-03 7:00:00
1917,0,2023-05-03 7:00:00
1896,0,2023-05-03 7:00:00
1923,0,2023-05-03 7:00:00
1924,0,2023-05-03 7:00:00
1935,0,2023-05-03 7:00:00
1877,0,2023-05-03 7:00:00
1944,5,2023-05-03 7:00:00
